Date,Open,High,Low,Close,Adj Close,Volume
2023-11-03,35.790001,35.889999,35.049999,35.540001,34.215286,30959700
2023-11-06,35.740002,36.130001,35.509998,35.509998,34.186401,33583600
2023-11-07,35.070000,35.419998,34.660000,34.919998,33.618393,48919900
2023-11-08,34.599998,34.799999,33.910000,34.169998,32.896351,59742900
2023-11-09,34.500000,35.150002,34.360001,34.880001,33.579887,56231100
2023-11-10,34.660000,35.060001,34.509998,34.720001,33.425854,40004800
2023-11-13,34.680000,35.750000,34.669998,35.689999,34.359695,44120000
2023-11-14,35.689999,36.240002,35.490002,36.180000,34.831432,50888600
2023-11-16,35.980000,36.490002,35.500000,35.549999,34.224915,72361200
2023-11-17,35.830002,36.919998,35.820000,36.709999,35.341675,87666300
2023-11-20,36.770000,37.220001,36.270000,36.740002,35.370560,67796900
2023-11-21,36.540001,36.540001,35.910000,36.360001,35.004723,49597800
2023-11-22,34.900002,35.160000,34.250000,35.160000,35.160000,58578300
2023-11-23,35.130001,35.250000,34.810001,35.169998,35.169998,24068100
2023-11-24,34.980000,35.820000,34.709999,35.270000,35.270000,53456200
2023-11-27,35.000000,35.400002,34.750000,35.070000,35.070000,36996000
2023-11-28,35.169998,35.619999,35.150002,35.599998,35.599998,36875900
2023-11-29,35.900002,36.029999,34.939999,35.230000,35.230000,37528600
2023-11-30,35.459999,35.919998,35.240002,35.910000,35.910000,58808800
2023-12-01,35.720001,36.000000,35.529999,35.669998,35.669998,36388100
2023-12-04,35.439999,35.549999,34.849998,34.910000,34.910000,35601900
2023-12-05,34.919998,35.169998,34.680000,34.750000,34.750000,43234200
2023-12-06,34.549999,34.799999,33.500000,33.500000,33.500000,64179200
2023-12-07,33.650002,34.180000,33.040001,33.419998,33.419998,64723900
2023-12-08,33.709999,34.540001,33.480000,34.490002,34.490002,53290700
2023-12-11,34.459999,34.689999,34.240002,34.360001,34.360001,30613300
2023-12-12,34.549999,34.599998,33.799999,34.080002,34.080002,30371500
2023-12-13,34.209999,34.619999,34.139999,34.570000,34.570000,38992900
2023-12-14,35.000000,35.740002,34.840000,35.320000,35.320000,57950000
2023-12-15,35.279999,35.790001,35.000000,35.400002,35.400002,56570100
2023-12-18,35.750000,36.299999,35.580002,35.840000,35.840000,44474300
2023-12-19,35.959999,36.250000,35.810001,36.250000,36.250000,32183000
2023-12-20,36.369999,36.740002,36.290001,36.380001,36.380001,38947900
2023-12-21,36.669998,36.680000,36.070000,36.389999,36.389999,30511900
2023-12-22,36.500000,36.799999,36.369999,36.740002,36.740002,31234700
2023-12-26,36.860001,37.369999,36.830002,37.330002,37.330002,23466800
2023-12-27,37.320000,37.430000,37.130001,37.360001,37.360001,19588500
2023-12-28,37.230000,37.360001,37.040001,37.240002,37.240002,21421900
2024-01-02,37.439999,37.889999,37.400002,37.779999,37.779999,24043800
2024-01-03,37.799999,39.119999,37.669998,38.959999,38.959999,52300200
2024-01-04,39.119999,39.349998,38.509998,38.630001,38.630001,45344900
2024-01-05,38.869999,39.139999,38.410000,38.720001,38.720001,35783700
2024-01-08,38.380001,38.430000,37.610001,38.430000,38.430000,35158100
2024-01-09,38.669998,38.750000,38.029999,38.099998,38.099998,27279000
2024-01-10,38.099998,38.270000,37.509998,37.750000,37.750000,27382000
2024-01-11,37.980000,38.150002,37.700001,38.070000,38.070000,26564400
2024-01-12,38.500000,38.730000,38.169998,38.169998,38.169998,24479500
2024-01-15,37.990002,38.619999,37.860001,38.580002,38.580002,13818300
2024-01-16,38.610001,38.790001,38.080002,38.099998,38.099998,31277700
2024-01-17,37.970001,38.150002,37.820000,37.880001,37.880001,27577300
2024-01-18,38.139999,38.139999,37.560001,37.730000,37.730000,22987200
2024-01-19,37.810001,37.900002,37.230000,37.529999,37.529999,31745200
2024-01-22,37.500000,37.810001,37.230000,37.700001,37.700001,22753700
2024-01-23,37.840000,38.369999,37.430000,38.169998,38.169998,32498500
2024-01-24,38.290001,38.540001,37.770000,37.880001,37.880001,25415300
2024-01-25,38.259998,39.279999,38.130001,39.279999,39.279999,48655300
2024-01-26,39.099998,40.090000,38.910000,39.959999,39.959999,41378200
2024-01-29,40.000000,40.590000,39.830002,40.570000,40.570000,30547500
2024-01-30,40.169998,40.740002,40.049999,40.320000,40.320000,34829000
2024-01-31,40.230000,41.240002,40.180000,40.759998,40.759998,57978900
2024-02-01,40.779999,41.880001,40.669998,41.570000,41.570000,61629200
2024-02-02,41.580002,41.779999,41.020000,41.029999,41.029999,36485600
2024-02-05,41.009998,41.680000,40.930000,41.209999,41.209999,27703000
2024-02-06,41.450001,42.349998,41.270000,41.590000,41.590000,35474600
2024-02-07,41.520000,42.200001,41.419998,42.200001,42.200001,30648100
2024-02-08,42.299999,42.450001,41.860001,41.860001,41.860001,25589100
2024-02-09,42.139999,42.330002,41.299999,41.299999,41.299999,30388000
2024-02-14,41.099998,41.400002,40.860001,40.990002,40.990002,18315300
2024-02-15,41.009998,42.299999,40.849998,42.299999,42.299999,33246400
2024-02-16,42.090000,42.889999,42.060001,42.689999,42.689999,37268900
2024-02-19,42.759998,42.939999,42.560001,42.900002,42.900002,12826700
2024-02-20,42.770000,42.820000,42.099998,42.450001,42.450001,42375400
2024-02-21,42.450001,42.720001,42.130001,42.509998,42.509998,20873800
2024-02-22,42.669998,42.680000,41.799999,42.189999,42.189999,32162800
2024-02-23,42.139999,42.240002,41.610001,41.900002,41.900002,43924500
2024-02-26,41.900002,42.730000,41.830002,42.689999,42.689999,25885700
2024-02-27,42.700001,42.820000,42.380001,42.630001,42.630001,27678100
2024-02-28,42.520000,42.939999,39.830002,40.430000,40.430000,112322000
2024-02-29,40.590000,41.240002,39.849998,40.139999,40.139999,61899800
2024-03-01,40.349998,40.849998,40.139999,40.180000,40.180000,31248500
2024-03-04,40.270000,40.750000,40.020000,40.080002,40.080002,21988000
2024-03-05,40.099998,40.369999,39.610001,39.959999,39.959999,30293300
2024-03-06,40.200001,40.840000,40.110001,40.840000,40.840000,45481000
2024-03-07,40.639999,40.939999,40.279999,40.389999,40.389999,50199800
2024-03-08,35.900002,37.060001,35.099998,36.700001,36.700001,230369800
2024-03-11,35.669998,37.740002,35.299999,35.650002,35.650002,127528700
2024-03-12,36.349998,37.230000,36.160000,36.820000,36.820000,76139100
2024-03-13,36.900002,37.330002,36.310001,36.380001,36.380001,45140600
2024-03-14,36.740002,36.919998,36.150002,36.220001,36.220001,39983400
2024-03-15,36.299999,36.450001,35.939999,36.320000,36.320000,59362500
2024-03-18,36.410000,36.720001,35.500000,36.340000,36.340000,35326100
2024-03-19,36.389999,36.849998,35.560001,36.070000,36.070000,48540800
